yearbir,sex,marstat,race,educat,abdtimes,abdfeel,abdppl,amnesia,memrecall
39,female,Divorced,Hispanic,12,3,3,5,Yes,
56,female,Married,Hispanic,12,60,5,6,Yes,Spontaneous recall
20,male,Divorced,White,9,1,,,Not sure,
49,female,Married,White,12,1,3,,Yes,Spontaneous recall
49,female,Married,White,14,1,4,,Yes,Other
29,male,Married,White,10,1,3,,Yes,Spontaneous recall
40,female,Married,White,12,1,3,,Yes,Spontaneous recall
58,female,Married,White,13,5,3,5,Yes,Spontaneous recall
32,female,Divorced,White,16,1,5,,Yes,Hypnosis
,,,,,1,,,,Spontaneous recall
54,Female,Divorced,White,14,2,5,4,Yes,Hypnosis
32,Female,Divorced,White,15,4,4,1,Yes,Spontaneous recall
31,male,Divorced,White,17,2,5,,No,
66,male,Single,White,14,3,2,,Yes,Other
50,female,Single,White,17,1,4,,Yes,Other
49,female,Married,White,14,3,4,1,Yes,Other
44,male,Single,White,16,3,3,,Yes,Spontaneous recall
35,male,Married,White,12,2,3,,Yes,
34,male,Married,Native American,17,2,5,1,Yes,Spontaneous recall
23,male,Married,White,14,1,4,,,
38,male,Married,White,16,1,3,,Yes,Other
44,male,Married,White,15,1,3,,Yes,Spontaneous recall
52,male,Single,White,14,1,5,,Yes,Other
49,female,Married,White,,1,5,,No,
49,male,Married,White,11,1,1,,Yes,Spontaneous recall
34,female,Married,Native American,9,1,,,,
32,female,Single,White,9,1,5,,No,
53,male,Single,White,14,1,5,2,Yes,Spontaneous recall
44,female,Married,White,11,4,,1,No,
48,female,Married,White,13,4,4,4,Yes,Hypnosis
,male,Married,White,,2,5,,Yes,Other
57,female,Divorced,Native American,13,2,4,5,Yes,Spontaneous recall
20,female,Married,White,12,1,4,12,Not sure,
46,male,Single,White,12,4,3,4,Yes,Spontaneous recall
65,female,Separated,White,15,4,4,,Yes,Hypnosis
48,female,Married,White,12,1,5,4,Yes,Other
35,female,Divorced,White,12,1,5,5,Yes,Other
51,female,Married,White,13,1,3,3,Yes,Spontaneous recall
58,female,Married,White,14,6,1,5,Yes,Spontaneous recall
83,female,,White,,1,1,,No,
59,male,Married,Native American,13,3,3,1,Yes,Other
68,female,Married,Native American,13,1,3,,Not sure,
44,male,Married,White,14,4,3,,Yes,Hypnosis
67,female,Single,White,15,1,3,,Yes,Spontaneous recall
48,female,Divorced,White,13,1,2,1,No,
46,female,Single,White,17,3,4,,Yes,Spontaneous recall
41,female,Single,White,13,9,3,,Yes,Spontaneous recall
35,male,Married,White,14,1,3,,Not sure,
39,male,Married,White,15,100,3,2,Yes,Spontaneous recall
58,female,Divorced,White,17,16,2,,Yes,Other
51,female,Separated,White,12,12,3,,Yes,Hypnosis
64,female,Single,White,16,1,4,,Yes,Other
47,female,Married,White,15,15,3,2,Yes,Other
67,male,Single,White,,1,3,2,Yes,Spontaneous recall
24,female,Married,Native American,14,4,5,,No,
