Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,85203F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE6,851179
Liberal Arts & Sciences - Anthropology & Human Biology/Religion,Senior,LE6,B15A41
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,852155
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE6,851716
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE6,85200C
Liberal Arts & Sciences - History,Sophomore,LE6,B15F6F
Liberal Arts & Sciences - Biology,Sophomore,LE6,851C1F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,851521
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,851DEB
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE6,85231D
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,851B67
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,851143
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE6,B2C276
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,851892
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,8524F6
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,8514FD
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE6,852524
